2	58	58
3	209	267
4	386	653
5	578	1231
6	780	2011
7	993	3004
8	1213	4217
9	1440	5657
10	1673	7330
11	1913	9243
12	2156	11399
13	2405	13804
14	2658	16462
15	2915	19377
2	2724	2724
3	9795	12519
4	18029	30548
5	26976	57524
6	36459	93983
7	46379	140362
8	56668	197030
9	67281	264311
10	78181	342492
11	89342	431834
12	100741	532575
13	112360	644935
14	124182	769117
15	136196	905313
2	16004	16004
3	57532	73536
4	105896	179432
5	158451	337883
6	214155	552038
7	272418	824456
8	332856	1157312
9	395193	1552505
10	459220	2011725
11	524776	2536501
12	591731	3128232
13	659976	3788208
14	729420	4517628
15	799985	5317613
2	57976	57976
3	208412	266388
4	383617	650005
5	573997	1224002
6	775787	1999789
7	986852	2986641
8	1205790	4192431
9	1431606	5624037
10	1663550	7287587
11	1901032	9188619
12	2143579	11332198
13	2390800	13722998
14	2642365	16365363
15	2897993	19263356
2	245833	245833
3	883722	1129555
4	1626630	2756185
5	2433890	5190075
6	3289531	8479606
7	4184497	12664103
8	5112853	17776956
9	6070368	23847324
10	7053866	30901190
11	8060850	38962040
12	9089312	48051352
13	10137584	58188936
14	11204288	69393224
15	12288216	81681440
2	535630	535630
3	1925481	2461111
4	3544152	6005263
5	5303036	11308299
6	7167333	18475632
7	9117312	27592944
8	11140044	38732988
9	13226312	51959300
10	15369180	67328480
11	17563232	84891712
12	19804080	104695792
13	22088096	126783888
14	24412240	151196128
15	26773952	177970080
2	1647370	1647370
3	5921956	7569326
4	10900296	18469622
5	16309870	34779492
6	22043652	56823144
7	28040952	84864096
8	34262008	119126104
9	40678472	159804576
10	47269040	207073616
11	54016992	261090608
12	60908880	321999488
13	67933504	389932992
14	75081664	465014656
15	82345216	547359872
1	19377	19377
2	905313	924690
3	5317613	6242303
4	19263356	25505659
5	81681440	107187099
6	177970080	285157179
7	547359872	832517051
